"id","poble","advocació","comarca","alçada"
1,"Alcover","L'Assumpció","Alt Camp, l'","39.71"
2,"Alió","Sant Bartomeu","Alt Camp, l'","36.55"
3,"Botarell","Sant Llorenç","Alt Camp, l'","29.85"
4,"Bràfim","Sant Jaume","Alt Camp, l'","35.74"
5,"Cabra del Camp","Santa Maria","Alt Camp, l'","34.68"
6,"Esblada","Sant Jaume","Alt Camp, l'","9.19"
7,"Figuerola del Camp","Sant Jaume","Alt Camp, l'","28.64"
8,"Fontscaldes","Sant Simó","Alt Camp, l'","23.03"
9,"Garidells, Els","Sant Jaume","Alt Camp, l'","21.98"
10,"Masmolets","Sant Roc","Alt Camp, l'","22.03"
11,"Masó, La","Santa Magdalena","Alt Camp, l'","29.25"
12,"Milà, El","Santa Úrsula","Alt Camp, l'","19.52"
13,"Mont-ral","Sant Pere","Alt Camp, l'","19.64"
14,"Montferri","Sant Bartomeu","Alt Camp, l'","32.59"
15,"Nulles","Sant Joan Baptista","Alt Camp, l'","29.46"
16,"Picamoixons","Sant Salvador","Alt Camp, l'","29.58"
17,"Pla de Santa Maria","L'Assumpció","Alt Camp, l'","36.38"
18,"Pobles, Les","Santa Maria","Alt Camp, l'","20.46"
19,"Pont d'Armentera, El","Santa Magdalena","Alt Camp, l'","24.89"
20,"Puigpelat","Santa Maria","Alt Camp, l'","30.26"
21,"Querol","Santa Maria","Alt Camp, l'","18.05"
22,"Riba, La","Sant Nicolau","Alt Camp, l'","31.29"
23,"Rodonyà","Sant Joan Baptista","Alt Camp, l'","41.18"
24,"Rourell, El","Sant Pere","Alt Camp, l'","32.4"
25,"Vallmoll","Santa Maria","Alt Camp, l'","20.12"
26,"Valls","Sant Joan Baptista","Alt Camp, l'","74.00"
27,"Valls","Mare de Déu del Carme","Alt Camp, l'","40.41"
28,"Valls","Sant Antoni","Alt Camp, l'","24.07"
29,"Vila-rodona","Santa Maria","Alt Camp, l'","49.44"
30,"Vilabella del Camp","Sant Pere","Alt Camp, l'","33.97"
31,"Arenys d'Empordà","Sant Sadurní","Alt Empordà, l'","19.23"
32,"Armentera, L'","Sant Martí","Alt Empordà, l'","29.6"
33,"Bàscara","Sant Iscle i santa Victòria","Alt Empordà, l'","23.28"
34,"Biure d'Empordà","Sant Esteve","Alt Empordà, l'","20.53"
35,"Boadella","Santa Cecília","Alt Empordà, l'","10.03"
36,"Borrassà","Sant Andreu","Alt Empordà, l'","35.18"
37,"Cabanelles","Santa Coloma","Alt Empordà, l'","16.6"
38,"Cabanes d'Empordà","Sant Vicenç","Alt Empordà, l'","28.44"
39,"Cadaqués","Santa Maria","Alt Empordà, l'","27.5"
40,"Calabuig","Sant Feliu","Alt Empordà, l'","19.74"
41,"Camallera","Sant Bartomeu","Alt Empordà, l'","27.59"
42,"Cantallops","Sant Esteve","Alt Empordà, l'","18.97"
43,"Castelló d'Empúries","La Purificació de la Mare de Déu, basílica","Alt Empordà, l'","37.93"
44,"Cistella","Santa Maria","Alt Empordà, l'","21.77"
45,"Colera","Sant Miquel","Alt Empordà, l'","26.26"
46,"Darnius","Santa Maria","Alt Empordà, l'","21.62"
47,"Escala, L'","Sant Pere","Alt Empordà, l'","28.89"
48,"Escaules, Les","Sant Martí","Alt Empordà, l'","18.75"
49,"Espinavessa","Sant Vicenç","Alt Empordà, l'","22.92"
50,"Espolla","Sant Jaume","Alt Empordà, l'","35.5"
51,"Figueres","El Bon Pastor","Alt Empordà, l'","19.75"
52,"Figueres","La Immaculada","Alt Empordà, l'","27.89"
53,"Figueres","Sant Joan de Vilatenim","Alt Empordà, l'","15.00"
54,"Figueres","Sant Pere","Alt Empordà, l'","38.8"
55,"Fortià","Sant Julià i santa Basilissa","Alt Empordà, l'","23.2"
56,"Garrigàs","Sant Miquel","Alt Empordà, l'","15.03"
57,"Garriguella","Santa Eulàlia","Alt Empordà, l'","31.55"
58,"Jonquera, La","Santa Maria","Alt Empordà, l'","20.13"
59,"Llampaies","Sant Martí","Alt Empordà, l'","18.44"
60,"Llançà","Sant Vicenç","Alt Empordà, l'","34.21"
61,"Llers","Sant Julià","Alt Empordà, l'","22.93"
62,"Maçanet de Cabrenys","Sant Martí","Alt Empordà, l'","23.42"
63,"Mollet de Peralada","Sant Cebrià","Alt Empordà, l'","22.97"
64,"Montiró","Sant Sadurní","Alt Empordà, l'","15.18"
65,"Navata","Sant Pere","Alt Empordà, l'","29.59"
66,"Ordis","Sant Julià","Alt Empordà, l'","18.33"
67,"Palau de Santa Eulàlia","Santa Eulàlia","Alt Empordà, l'","19.05"
68,"Pedret","Sant Esteve","Alt Empordà, l'","15.23"
69,"Peralada","Sant Martí","Alt Empordà, l'","30.66"
70,"Pont de Molins","Santa Maria","Alt Empordà, l'","21.23"
71,"Pontós","Sant Martí","Alt Empordà, l'","21.66"
72,"Port de la Selva, El","Santa Maria de les Neus","Alt Empordà, l'","30.32"
73,"Portbou","Santa Maria","Alt Empordà, l'","34.16"
74,"Queixàs","Sant Martí","Alt Empordà, l'","15.72"
75,"Riumors","Sant Mamert","Alt Empordà, l'","24.00"
76,"Sant Climent Sescebes","Sant Climent","Alt Empordà, l'","20.53"
77,"Sant Llorenç de la Muga","Sant Llorenç","Alt Empordà, l'","29.91"
78,"Sant Martí Sesserres","Sant Martí","Alt Empordà, l'","16.42"
79,"Sant Miquel de Fluvià","Sant Miquel","Alt Empordà, l'","28.79"
80,"Sant Mori","Sant Maurici","Alt Empordà, l'","24.03"
81,"Sant Pere de Rodes","Sant Pere, antic monestir, l'altre dels dos campanars","Alt Empordà, l'","27.00"
82,"Sant Pere de Rodes","Sant Pere, antic monestir, un dels dos campanars","Alt Empordà, l'","24.00"
83,"Sant Pere Pescador","Sant Pere","Alt Empordà, l'","33.54"
84,"Santa Llogaia d'Àlguema","Santa Llogaia","Alt Empordà, l'","19.5"
85,"Selva de Mar, La","Sant Esteve","Alt Empordà, l'","26.55"
86,"Siurana d'Empordà","Santa Coloma","Alt Empordà, l'","19.88"
87,"Taravaus","Sant Martí","Alt Empordà, l'","15.87"
88,"Terrades","Santa Cecília","Alt Empordà, l'","16.53"
89,"Valveralla","Sant Vicenç","Alt Empordà, l'","17.26"
90,"Ventalló","Sant Miquel","Alt Empordà, l'","22.38"
91,"Vila-robau","Sant Andreu","Alt Empordà, l'","16.82"
92,"Vila-sacra","Sant Esteve","Alt Empordà, l'","16.51"
93,"Vilabertran","Santa Maria, antic monestir","Alt Empordà, l'","27.24"
94,"Vilacolum","Sant Esteve","Alt Empordà, l'","13.59"
95,"Vilafant","Sant Cebrià","Alt Empordà, l'","22.14"
96,"Vilanant","Santa Maria","Alt Empordà, l'","29.31"
97,"Vilanova de la Muga","Santa Eulàlia","Alt Empordà, l'","26.75"
98,"Vilarig","Sant Martí","Alt Empordà, l'","22.9"
99,"Vilatenim","Sant Joan","Alt Empordà, l'","14.12"
100,"Avinyó Nou (les Cabòries)","Sant Pere","Alt Penedès, l'","24.38"
101,"Cabanyes, Les","Sant Valentí","Alt Penedès, l'","21.76"
102,"Font-Rubí","Sant Pere i sant Feliu","Alt Penedès, l'","18.92"
103,"Gelida","Sant Pere","Alt Penedès, l'","38.7"
104,"Granada, La","Sant Cristòfol","Alt Penedès, l'","26.09"
105,"Guardiola de Font-rubí","Santa Maria de Bellver","Alt Penedès, l'","20.38"
106,"Gunyoles, Les","Sant Salvador","Alt Penedès, l'","20.24"
107,"Lavern","Sant Pere","Alt Penedès, l'","21.77"
108,"Moja","Sant Jaume","Alt Penedès, l'","29.15"
109,"Monistrol d'Anoia","Santa Maria","Alt Penedès, l'","15.31"
110,"Monjos, Els","Santa Margarida","Alt Penedès, l'","21.12"
111,"Múnia, La","Sant Sadurní","Alt Penedès, l'","23.89"
112,"Olesa de Bonesvalls","Sant Joan","Alt Penedès, l'","23.12"
113,"Pacs de Penedès","Sant Genís","Alt Penedès, l'","20.43"
114,"Pla del Penedès, El  ","Santa Magdalena","Alt Penedès, l'","22.99"
115,"Puigdàlber","Sant Andreu","Alt Penedès, l'","12.12"
116,"Sant Cugat Sesgarrigues","Sant Cugat","Alt Penedès, l'","22.13"
117,"Sant Joan de Mediona","Sant Joan","Alt Penedès, l'","23.45"
118,"Sant Llorenç d'Hortons","Sant Llorenç","Alt Penedès, l'","23.62"
119,"Sant Marçal","Sant Marçal","Alt Penedès, l'","19.27"
